,HUMOR,CATEGORIA,INDICACAO,LINK_REF
,RAIVA,MUSICA,'Back in Black' - AC/DC. Canalize a energia para o ritmo. ,#
,RAIVA,ATIVIDADE,"Lave o rosto com água gelada para um ""reset"" térmico imediato. ",#
,RAIVA,LIVRO,'A Arte da Prudência' - Baltasar Gracián.,#
,RAIVA,EXERCICIO,Aperte uma almofada ou bolinha antiestresse por 10 segundos e solte.,#
,RAIVA,MUSICA,'Killing In The Name' - Rage Against The Machine.,#
,RAIVA,ATIVIDADE,"Conte de 100 até 0 subtraindo de 7 em 7 (ex: 100, 93, 86...).",#
,RAIVA,LIVRO,'Sobre a Ira' - Sêneca (Sabedoria clássica).,#
,RAIVA,EXERCICIO,Grite em um travesseiro se sentir necessidade de extravasar.,#
,RAIVA,MUSICA,'Thunderstruck' - AC/DC.,#
,RAIVA,ATIVIDADE,"Limpe algo que exija esforço físico, como o chão ou o carro.",#
,RAIVA,LIVRO,'Como Lidar com Pessoas Difíceis' - Vários autores.,#
,RAIVA,EXERCICIO,Técnica de contração: aperte todos os músculos do corpo e relaxe.,#
,RAIVA,MUSICA,'Eye of the Tiger' - Survivor.,#
,RAIVA,ATIVIDADE,Saia do ambiente onde o conflito aconteceu por pelo menos 5 minutos.,#
,SOBRECARREGADO,ATIVIDADE,"Regra dos 2 Minutos: Se a tarefa leva menos de 2min, faça agora. ",#
,SOBRECARREGADO,LIVRO,'Essencialismo' - Greg McKeown. Foco no que importa. ,https://tinyurl.com/essenc-mia
,SOBRECARREGADO,EXERCICIO,Feche os olhos e ouça apenas os sons ao seu redor por 1 minuto. ,#
,SOBRECARREGADO,ATIVIDADE,Brain Dump: Escreva todas as pendências em um papel para esvaziar a mente.,#
,SOBRECARREGADO,MUSICA,'Clair de Lune' - Debussy. Música para organizar pensamentos. ,#
,SOBRECARREGADO,LIVRO,'A Arte de Fazer Acontecer' - David Allen.,#
,SOBRECARREGADO,EXERCICIO,Alongamento 'Gato-Vaca' para liberar a tensão da coluna.,#
,SOBRECARREGADO,MUSICA,Sons de Natureza (Chuva ou Floresta) para foco e calma. ,#
,SOBRECARREGADO,ATIVIDADE,Desligue as notificações do celular pelos próximos 30 minutos. ,#
,SOBRECARREGADO,LIVRO,'Trabalho Focado' - Cal Newport.,#
,SOBRECARREGADO,EXERCICIO,"Respire fundo e solte o ar fazendo o som de ""S"" bem devagar.",#
,SOBRECARREGADO,ATIVIDADE,Defina apenas UMA prioridade para a próxima hora e ignore o resto.,#
,SOBRECARREGADO,MUSICA,Café Music (Jazz suave) para um ambiente de trabalho calmo.,#
,SOBRECARREGADO,LIVRO,'Devagar' - Carl Honoré (Sobre o movimento Slow Living).,#
,SOBRECARREGADO,ATIVIDADE,"Beba um copo de água calmamente, sentindo a temperatura e o trajeto.",#
,SOBRECARREGADO,EXERCICIO,Afaste-se da tela e olhe para o ponto mais distante por 2 minutos.,#
,FELIZ,MUSICA,'Can't Stop the Feeling!' - Justin Timberlake.,#
,FELIZ,ATIVIDADE,Mande uma mensagem de gratidão para alguém que te ajudou essa semana. ,#
,FELIZ,LIVRO,'A Coragem de Ser Imperfeito' - Brené Brown. ,#
,FELIZ,EXERCICIO,Dança Livre: coloque sua música favorita e mova o corpo. ,#
,FELIZ,MUSICA,'Celebration' - Kool & The Gang.,#
,FELIZ,ATIVIDADE,"Planeje um pequeno ""auto-mimo"" para hoje (um café, um doce). ",#
,FELIZ,LIVRO,'A Arte da Felicidade' - Dalai Lama.,#
,FELIZ,MUSICA,"'September' - Earth, Wind & Fire.",#
,FELIZ,ATIVIDADE,Tire uma foto de algo bonito que você viu hoje e guarde-a.,#
,FELIZ,LIVRO,'O Jeito Harvard de Ser Feliz' - Shawn Achor.,#
,FELIZ,EXERCICIO,Sorria para o espelho por 30 segundos (isso engana o cérebro positivamente).,#
,FELIZ,MUSICA,'Best Day Of My Life' - American Authors.,#
,FELIZ,ATIVIDADE,Compartilhe uma notícia boa com alguém da sua equipe ou família.,#
,FELIZ,LIVRO,'Ikigai: Os segredos dos japoneses para uma vida longa e feliz'.,#
,FELIZ,EXERCICIO,Pule de alegria literalmente! O movimento eleva a endorfina.,#
,FELIZ,ATIVIDADE,"Comece um ""Pote da Gratidão"" e coloque seu primeiro papel hoje.",#
,ANSIOSO,MUSICA,Escute 'Spiegel im Spiegel' de Arvo Pärt para calma profunda.,#
,ANSIOSO,EXERCICIO,Respiração alternada (Nadi Shodhana): equilibre a sua energia.,#
,ANSIOSO,LIVRO,'O Poder da Calma' - Nick Trenton.,#
,ANSIOSO,ATIVIDADE,Colorir uma mandala por 10 minutos para focar o pensamento.,#
,TRISTE,MUSICA,Ouça 'Happy' de Pharrell Williams para elevar o ânimo.,#
,TRISTE,EXERCICIO,Caminhada leve ao ar livre observando a natureza.,#
,TRISTE,LIVRO,'O Pequeno Príncipe' - Antoine de Saint-Exupéry.,#
,TRISTE,ATIVIDADE,Faça uma lista de 5 pequenas vitórias do seu dia.,#
,RAIVA,MUSICA,Ouça 'In the End' - Linkin Park para libertar a tensão.,#
,RAIVA,EXERCICIO,10 Polichinelos rápidos para canalizar a energia física.,#
,RAIVA,LIVRO,'Comunicação Não-Violenta' - Marshall Rosenberg.,#
,RAIVA,ATIVIDADE,Escreva os seus sentimentos num papel e depois destrua-o.,#
,SOBRECARREGADO,MUSICA,Sons de chuva ou ruído branco para isolar distrações.,#
,SOBRECARREGADO,EXERCICIO,Alongamento de pescoço e ombros para aliviar a tensão física.,#
,SOBRECARREGADO,LIVRO,'Essencialismo' - Greg McKeown.,#
,SOBRECARREGADO,ATIVIDADE,Técnica Pomodoro: foque numa única tarefa por 25 minutos.,#
,FELIZ,MUSICA,Ouça 'Walking on Sunshine' - Katrina and the Waves.,#
,FELIZ,EXERCICIO,Pratique alguns saltos ou movimentos rápidos de alegria.,#
,FELIZ,LIVRO,'Mais Feliz' - Tal Ben-Shahar.,#
,FELIZ,ATIVIDADE,Envie um elogio sincero para alguém importante para si.,#
